Sample,Phi (degrees),Peak Name,Peak Center (Theta),Tilt Angle (Chi),FWHM (degrees),Net Height,Net Area (cts deg),Area/Base Ratio
SH-104-1,60,Peak 1 (Tilt),10.796741812953494,-3.9205316094389335,0.0,0.0,0.0,0.0
SH-104-1,60,Peak 2a (Tilt),11.866817496288997,-2.8504559261034306,0.0,0.0,0.0,0.0
SH-104-1,60,Peak 2b (Tilt),13.59538160429982,-1.1218918180926067,0.6203126639257589,2022.7416813933157,1335.5190709947087,0.02581242817878723
SH-104-1,60,Peak 3 (Specular),14.433537023273482,-0.2837363991189452,0.6193677602961286,2636.9761777417125,1738.4164567583434,0.03562820093596702
SH-104-1,60,Minor Peak A (Tilt),16.800423127822803,2.083149705430376,0.6302833615455543,2253.802587352403,1511.9963349521852,0.035933544682330135
SH-104-1,60,Minor Peak B (Tilt),17.578871777453028,2.8615983550606003,0.59604614395265,1370.5312313281493,869.4965076808883,0.021592070224497616
SH-104-1,60,Peak 4 (Tilt),23.156583501616772,8.439310079224345,0.0,0.0,0.0,0.0
SH-104-1,90,Peak 1 (Tilt),10.771730861457499,-3.9422133741650995,0.0,0.0,0.0,0.0
SH-104-1,90,Peak 2a (Tilt),12.191491763275927,-2.5224524723466715,0.0,0.0,0.0,0.0
SH-104-1,90,Peak 2b (Tilt),13.591198276659794,-1.1227459589628044,0.5402393951774194,2761.445942201715,1587.8951387683526,0.06992834423236001
SH-104-1,90,Peak 3 (Specular),14.847982514597815,0.13403827897521658,0.5625406202658895,4397.708773468689,2633.172897698998,0.12645300915930405
SH-104-1,90,Minor Peak A (Tilt),16.833636157197137,2.119691921574539,0.5511066375123751,3460.761414274582,2030.0480819757393,0.11017229229270742
SH-104-1,90,Minor Peak B (Tilt),17.46301629949646,2.749072063873861,0.5128730731211709,2293.8606101893015,1252.2064742035027,0.07042137837114562
SH-104-1,90,Peak 4 (Tilt),23.19849213911265,8.48454790349005,0.0,0.0,0.0,0.0
